kmeans;friends;followers;photos;videos
0;30;8;2;8
4;289;67;268;551
0;83;131;53;61
0;479;84;2;41
0;50;134;452;72
0;146;265;6;452
0;145;397;372;390
0;171;19;49;1
4;100;1279;2;100
0;90;32;266;59
0;118;52;13;4
4;0;4;5;0
0;23;77;105;21
4;0;1;0;0
0;224;200;24;70
4;0;1;1;0
4;0;1;0;0
0;126;65;13;106
0;53;331;29;164
0;1651;4750;266;430
0;27;24;0;0
0;269;116;47;4337
0;171;748;18;0
0;272;7;41;30
0;238;93;5;0
0;3;344;2;24
0;0;0;0;0
0;1464;490;52;786
0;385;409;68;55
0;455;225;132;44
4;426;542;64;311
0;122;219;79;288
0;120;151;51;15
0;4;3;1;0
4;325;260;9;578
0;117;229;47;44
0;146;14;36;22
0;65;4;0;38
0;38;9;1;2
4;377;115;18;347
4;1;2;2;0
4;208;7;210;1
0;36;16;0;4
0;4;0;0;0
0;178;185;4;70
0;12;20;6;1
0;97;49;155;99
0;71;45;8;0
0;29;73;13;1
0;52;10;3;0
4;8;10;2;0
0;25;12;14;0
0;72;192;20;1470
0;116;129;33;226
0;177;58;233;74
0;196;245;31;156
0;89;253;10;5
0;123;105;23;14
0;0;1;0;0
0;78;220;10;1
0;421;147;262;283
0;272;-1;0;0
0;380;240;39;358
0;89;12;3;0
0;439;148;54;22
0;193;244;1;8
0;0;0;0;0
0;253;172;235;2
0;86;307;9;1
0;145;111;8;87
0;95;378;18;68
0;94;145;19;128
0;954;225;7;6
0;60;36;36;0
0;95;158;59;0
0;355;455;89;59
0;48;87;30;575
0;81;1198;195;111
0;107;176;133;120
0;2433;281;1;0
0;336;175;89;40
0;150;350;19;11
0;320;348;23;99
0;81;8;25;0
4;44;9;99;1
0;216;336;691;339
0;335;144;121;57
4;146;119;118;194
3;30;2;1;1
0;81;35;1;0
0;268;317;123;64
0;1;0;0;0
3;145;223;142;2
3;52;13;4;5
4;269;181;75;32
0;5;14;29;0
0;194;556;131;11
0;208;236;259;5
0;86;70;1;3
0;1201;1017;1244;183
4;95;30;46;2
0;124;35;11;4
0;4;9;1;0
4;124;169;14;1
0;330;502;231;55
0;41;1;45;0
0;264;101;6;99
0;265;128;495;5
4;129;1962;136;106
4;252;63;709;24
0;24;45;4;289
0;148;594;1;1
0;109;274;661;12
0;4;4;3;0
0;11;10;2;0
4;198;210;42;157
0;204;230;20;22
0;59;134;12;7
4;6;3;8;0
0;924;348;8;255
0;130;685;39;19
0;0;0;1;0
0;40;62;8;9
4;56;4;13;0
0;36;67;11;720
0;160;166;78;305
0;64;50;69;68
0;204;149;4;500
0;22;1;9;0
0;88;441;339;194
0;42;157;7;0
0;210;175;22;23
0;158;258;347;348
0;289;668;180;21
0;269;203;79;681
0;206;97;149;32
0;37;263;91;0
0;31;20;4;1
0;2;2;1;0
4;102;352;286;360
0;335;104;23;46
3;0;2;9;0
0;1077;230;3981;430
0;2;47;4;0
4;4;1;1;0
0;0;5;1;0
0;0;0;0;0
0;0;0;0;0
4;101;79;227;0
3;6;0;16;2
4;236;50;19;5
0;41;9;4;16
0;12;2;24;0
4;140;180;243;25
0;98;16;54;0
0;4;2;0;0
0;255;226;281;56
0;171;127;69;96
0;295;635;179;150
0;291;12;1;16
3;38;2;1;7
0;0;0;0;0
3;238;255;2198;125
4;210;53;126;6
3;43;10;2;3
3;60;5;12;3
0;48;117;638;138
0;3;0;0;0
0;4;47;0;5
0;4;11;2;0
0;13;6;0;0
4;262;65;144;42
4;95;23;92;7
0;1;2;1;0
3;42;275;254;16
4;287;123;196;8
0;0;0;0;0
0;182;12;6;58
0;29;0;1;5
2;0;0;0;0
0;13;6;3;0
3;10;6;3;1
0;12;24;116;8
3;137;22;8;19
0;269;101;387;90
2;0;3;1;0
2;0;3;0;0
0;65;29;8;0
0;94;9;1;2
0;62;7;3;1
0;0;1;1;0
4;0;0;0;0
3;0;0;0;0
4;141;28;4;16
2;0;0;0;0
0;17;52;2;2
3;3;2;1;0
0;136;164;46;108
0;4;4;1;0
4;611;124;90;39
4;254;83;42;61
2;17;25;39;5
3;6;1;1;0
4;61;10;24;2
4;25;19;1;0
2;135;33;74;9
4;70;7;19;0
4;89;64;2669;19
0;35;14;31;2
0;276;82;4;0
0;269;380;51;77
0;56;7;4;0
0;60;71;4;0
0;78;450;13;0
0;18;1;11;0
0;95;556;27;103
0;319;107;1226;569
0;165;238;26;1
0;20;92;198;263
0;238;343;33;4
0;653;1261;386;74
0;0;3;14;6
0;85;424;103;2238
0;32;18;15;173
0;151;292;1;0
0;144;220;116;154
0;153;127;4;965
0;225;651;324;3036
0;107;326;28;339
0;14;54;21;4
0;131;350;121;11
4;190;116;318;22
4;22;13;215;1
0;127;61;133;121
0;31;4;68;4
4;105;47;17;21
0;26;99;13;0
0;11;3;0;0
3;10;25;4;0
0;44;65;41;3
4;30;5;30;131
3;65;47;12;8
0;10;11;3;0
3;173;54;6;38
3;4;7;5;1
4;1;0;0;0
4;14;54;140;258
0;738;37;320;255
4;203;41;1507;102
0;500;139;651;18
3;116;14;67;8
0;128;20;86;4
4;222;103;37;13
0;0;12;1;0
0;33;122;275;205
3;32;43;1;2
3;0;1;0;0
0;2;3;1;0
3;0;1;0;0
0;97;105;3;7
3;18;36;5;4
4;1;22;91;267
3;656;49;212;0
0;660;514;411;25
4;68;45;37;2
0;119;62;27;0
0;101;1052;1065;23
0;148;62;369;10
0;24;40;7;2
3;32;6;7;0
0;144;159;309;97
4;96;64;31;4
0;2126;37;33;4
4;113;93;86;0
4;208;316;79;1
0;197;194;27;1
0;356;259;1;78
4;128;437;282;51
0;0;0;1;0
4;0;0;0;0
0;119;33;14;1
0;18;15;2;0
3;21;3;10;0
0;198;86;97;4
0;3;13;3;0
4;52;3;7;0
0;186;216;1;16
4;220;18;384;17
4;38;68;51;3
0;69;243;150;0
0;7;33;55;25
0;47;13;14;0
4;362;98;7;95
0;103;113;54;0
0;21;4;1;1
4;83;53;71;5
4;69;37;82;37
0;44;572;272;97
4;471;1150;137;54
0;0;3;2;0
